{day_number: 6, imei: 353918054312018L, lon: -119.2553594, lat: 34.24807709, time: 1416061530}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25543298, "lat": 34.2481158, "time": 1416061532}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25540633, "lat": 34.24810531, "time": 1416061533}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25544114, "lat": 34.24811262, "time": 1416061534}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25542912, "lat": 34.24810681, "time": 1416061535}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25544041, "lat": 34.24811887, "time": 1416061536}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25543078, "lat": 34.24812413, "time": 1416061537}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25540552, "lat": 34.24811456, "time": 1416061538}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25540861, "lat": 34.24811805, "time": 1416061539}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25540121, "lat": 34.24811828, "time": 1416061540}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25540127, "lat": 34.24811629, "time": 1416061541}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25540095, "lat": 34.24811653, "time": 1416061542}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25540005, "lat": 34.24811455, "time": 1416061543}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539931, "lat": 34.24811629, "time": 1416061544}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539862, "lat": 34.24811706, "time": 1416061545}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539713, "lat": 34.24811696, "time": 1416061546}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539685, "lat": 34.24811716, "time": 1416061547}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539559, "lat": 34.24811723, "time": 1416061548}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539498, "lat": 34.24811782, "time": 1416061549}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539417, "lat": 34.24811801, "time": 1416061550}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539379, "lat": 34.24811849, "time": 1416061551}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539321, "lat": 34.2481187, "time": 1416061552}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539287, "lat": 34.2481192, "time": 1416061553}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539252, "lat": 34.24811977, "time": 1416061554}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2553922, "lat": 34.2481203, "time": 1416061555}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539173, "lat": 34.24812101, "time": 1416061556}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539134, "lat": 34.24812123, "time": 1416061557}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539078, "lat": 34.24812141, "time": 1416061558}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2553906, "lat": 34.24812172, "time": 1416061559}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539042, "lat": 34.24812168, "time": 1416061560}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2553904, "lat": 34.24812167, "time": 1416061561}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539021, "lat": 34.24812161, "time": 1416061562}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539003, "lat": 34.24812183, "time": 1416061563}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539005, "lat": 34.24812197, "time": 1416061564}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539007, "lat": 34.24812198, "time": 1416061565}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25539005, "lat": 34.248122, "time": 1416061566}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2553901, "lat": 34.24812206, "time": 1416061567}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538992, "lat": 34.24812225, "time": 1416061568}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538991, "lat": 34.24812222, "time": 1416061569}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538987, "lat": 34.2481223, "time": 1416061570}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538898, "lat": 34.24812287, "time": 1416061571}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538887, "lat": 34.24812356, "time": 1416061572}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538864, "lat": 34.24812316, "time": 1416061573}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2553876, "lat": 34.24812308, "time": 1416061574}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538749, "lat": 34.24812309, "time": 1416061575}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538745, "lat": 34.24812319, "time": 1416061576}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538739, "lat": 34.2481232, "time": 1416061577}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538737, "lat": 34.24812328, "time": 1416061578}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538736, "lat": 34.2481233, "time": 1416061579}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538728, "lat": 34.24812331, "time": 1416061580}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538741, "lat": 34.2481233, "time": 1416061581}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538727, "lat": 34.24812334, "time": 1416061582}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538721, "lat": 34.24812327, "time": 1416061583}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538713, "lat": 34.24812321, "time": 1416061584}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538722, "lat": 34.24812309, "time": 1416061585}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538725, "lat": 34.24812313, "time": 1416061586}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538729, "lat": 34.2481232, "time": 1416061587}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538724, "lat": 34.24812326, "time": 1416061588}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538725, "lat": 34.24812324, "time": 1416061589}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538713, "lat": 34.24812323, "time": 1416061590}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538703, "lat": 34.24812317, "time": 1416061591}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538691, "lat": 34.24812318, "time": 1416061592}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538686, "lat": 34.24812316, "time": 1416061593}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538691, "lat": 34.24812316, "time": 1416061594}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538674, "lat": 34.24812303, "time": 1416061595}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538675, "lat": 34.24812294, "time": 1416061596}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538677, "lat": 34.24812278, "time": 1416061597}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538658, "lat": 34.24812268, "time": 1416061598}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538664, "lat": 34.24812262, "time": 1416061599}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538658, "lat": 34.24812255, "time": 1416061600}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25538651, "lat": 34.24812247, "time": 1416061601}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2553864, "lat": 34.24812244, "time": 1416061602}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25524234, "lat": 34.24811368, "time": 1416061603}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523556, "lat": 34.24811458, "time": 1416061604}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523764, "lat": 34.24810503, "time": 1416061605}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521931, "lat": 34.24809664, "time": 1416061606}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521575, "lat": 34.24809785, "time": 1416061607}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521482, "lat": 34.24810625, "time": 1416061608}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521048, "lat": 34.24810338, "time": 1416061609}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521154, "lat": 34.24810507, "time": 1416061610}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521569, "lat": 34.24812283, "time": 1416061611}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521125, "lat": 34.24812704, "time": 1416061612}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25520317, "lat": 34.24813386, "time": 1416061613}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25519593, "lat": 34.24813889, "time": 1416061614}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2551951, "lat": 34.24813981, "time": 1416061615}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25519475, "lat": 34.24814126, "time": 1416061616}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25519906, "lat": 34.24814395, "time": 1416061617}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25521004, "lat": 34.24814262, "time": 1416061618}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552197, "lat": 34.24813312, "time": 1416061619}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25522524, "lat": 34.24812242, "time": 1416061620}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523305, "lat": 34.24811329, "time": 1416061621}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25524033, "lat": 34.24810546, "time": 1416061622}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25524912, "lat": 34.24810156, "time": 1416061623}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25525693, "lat": 34.24809911, "time": 1416061624}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25526664, "lat": 34.24809813, "time": 1416061625}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527154, "lat": 34.24809713, "time": 1416061626}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25526005, "lat": 34.24809695, "time": 1416061627}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25524914, "lat": 34.24809979, "time": 1416061628}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25524058, "lat": 34.24810576, "time": 1416061629}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523582, "lat": 34.2481119, "time": 1416061630}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523244, "lat": 34.24811777, "time": 1416061631}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25522748, "lat": 34.24812209, "time": 1416061632}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552236, "lat": 34.24812673, "time": 1416061633}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25522158, "lat": 34.2481311, "time": 1416061634}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25522197, "lat": 34.24813677, "time": 1416061635}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25522466, "lat": 34.24814445, "time": 1416061636}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25522964, "lat": 34.24815031, "time": 1416061637}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523339, "lat": 34.24815552, "time": 1416061638}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552327, "lat": 34.24815814, "time": 1416061639}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523277, "lat": 34.24815944, "time": 1416061640}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25523433, "lat": 34.24815932, "time": 1416061641}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25526207, "lat": 34.24814795, "time": 1416061642}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527481, "lat": 34.24814206, "time": 1416061643}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528124, "lat": 34.2481392, "time": 1416061644}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528498, "lat": 34.24813669, "time": 1416061645}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528576, "lat": 34.2481366, "time": 1416061646}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528769, "lat": 34.24813686, "time": 1416061647}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25529003, "lat": 34.24813836, "time": 1416061648}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25529103, "lat": 34.24813881, "time": 1416061649}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25529039, "lat": 34.24813845, "time": 1416061650}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528761, "lat": 34.24813941, "time": 1416061651}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528548, "lat": 34.24814047, "time": 1416061652}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528477, "lat": 34.24814075, "time": 1416061653}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528434, "lat": 34.24814095, "time": 1416061654}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528438, "lat": 34.2481411, "time": 1416061655}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528448, "lat": 34.24814116, "time": 1416061656}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528357, "lat": 34.24814132, "time": 1416061657}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528309, "lat": 34.2481414, "time": 1416061658}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528329, "lat": 34.24814086, "time": 1416061659}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528364, "lat": 34.24814068, "time": 1416061660}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528383, "lat": 34.24814152, "time": 1416061661}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528391, "lat": 34.24814198, "time": 1416061662}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528417, "lat": 34.24814235, "time": 1416061663}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528291, "lat": 34.24814291, "time": 1416061664}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528121, "lat": 34.24814416, "time": 1416061665}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528228, "lat": 34.24814464, "time": 1416061666}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25528069, "lat": 34.24814531, "time": 1416061667}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527846, "lat": 34.24814579, "time": 1416061668}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527614, "lat": 34.24814613, "time": 1416061669}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527491, "lat": 34.24814641, "time": 1416061670}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552743, "lat": 34.24814656, "time": 1416061671}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527398, "lat": 34.24814661, "time": 1416061672}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552738, "lat": 34.24814666, "time": 1416061673}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527366, "lat": 34.24814668, "time": 1416061674}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552744, "lat": 34.24814778, "time": 1416061675}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527475, "lat": 34.24814832, "time": 1416061676}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527484, "lat": 34.24814867, "time": 1416061677}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527488, "lat": 34.24814884, "time": 1416061678}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527489, "lat": 34.24814893, "time": 1416061679}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527463, "lat": 34.24814864, "time": 1416061680}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527449, "lat": 34.24814849, "time": 1416061681}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527438, "lat": 34.24814841, "time": 1416061682}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552743, "lat": 34.24814837, "time": 1416061683}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527422, "lat": 34.24814835, "time": 1416061684}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527417, "lat": 34.24814832, "time": 1416061685}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527409, "lat": 34.2481483, "time": 1416061686}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527374, "lat": 34.248148, "time": 1416061687}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527358, "lat": 34.24814786, "time": 1416061688}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527357, "lat": 34.24814795, "time": 1416061689}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527333, "lat": 34.24814799, "time": 1416061690}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527305, "lat": 34.24814767, "time": 1416061691}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527604, "lat": 34.24814895, "time": 1416061692}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527757, "lat": 34.24814966, "time": 1416061693}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527757, "lat": 34.24814973, "time": 1416061694}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527746, "lat": 34.24814974, "time": 1416061695}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527747, "lat": 34.24814977, "time": 1416061696}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527756, "lat": 34.24814987, "time": 1416061697}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527737, "lat": 34.24814999, "time": 1416061698}
{"day_number": 6, "imei": 353918054312018, "lon": -119.2552773, "lat": 34.24814996, "time": 1416061699}
{"day_number": 6, "imei": 353918054312018, "lon": -119.25527749, "lat": 34.24814982, "time": 1416061700}
